rating,"review text"
1," 5 попыток было испечь хлеб с этой муки, и один результат  - ""пирог из глины"". "
1,"1 звезда за то что нет даты изготовления и пить прийдеться на свой страх и риск, печально конечно 🤔😓"
1,"2 недели уже стоит, так ничего и не взошло"
1,"25.07.21 получил данный товар. Упаковка была надорвана.. Количество заявленных мешков сопадало с указанным на кробке.
По приезду домой обнаружилось, что товар не соответствует заказу и не подходит к указанному мною пылесосу. Сама форма мешка и главное картридж для установки не соответствует заказанному товару.  Фотографии имеются, но вставить не удается. Оценка плохо."
1,2x  увелечение.
1,"4 раза покупала пасту этой фирмы на подарки, из-за отзывов. только один раз пришла упакована нормально, в спаяный пакет. Причем самая дешевая из них! 1 раз вскрытая и надъеденая, 1раз протекшая, 1раз со следами от грязных пальцев. Одно разочарование! Не понимаю прикола, покупаешь шампунь за 200 р попакуют в сто пакетов и коробку, покупаешь пасту за 850р приходит банка как есть. Все помацали кто мог, кушайте на здоровье!"
1,"""Гипоалергенный""??? На каком же основании производитель это пишет?! Во-первых, от приторного, химически-сладкого запаха сразу началось раздражение слизистой носа и глаз! Во-вторых, при мытье начало печь голову и появился зуд! У меня при осветлении и окрашивании волос никогда такого небыло, а тут из-за шампуня! С аналогичной бальзамом-маской, кстати, та же история.
Производители, зачем вводите людей в заблуждение?! Ведь у человека-аллергика может случиться приступ во время или после использования вашей ""химии""! И где потом виноватых искать?! Засудить таких производителей надо! Называйте вещи своими именами!
Еще и почти 800 р.просто выкинула в помойку, поверив вам!"
1,"А где сыворотка? Будет ли в них вообще толк, для красоты их использовать? Сухие "
1,А мне вообще вместо мешков для пылесоса прислали овощерезку. Жду возврат... 
1,"Абсолютно бесполезная штука,не очищает,не пенится, ни капли не отбеливает,ощущения чистоты даже нет"
1,Аллергия от них жуткая!
1,"Аромата розы нет вообще, зато есть ощущение, что ешь вприкуску с духами какими-то."
1,Аромата розы почти не ощущается( 
1,База не просыхает
1,"База неплохая, но снимаю звёзды за аллергическую реакцию. Впервые в жизни возникла такая ужасная реакция, и только с этой базой. Под ногтями образовались волдыря, все зудело и болело. Обидно. Всем, кто склонен к аллергии - осторожно."
1,"База ужасна, не самовыравнивается,  проплешины, растекается, не советую!!!"
1,Бальзам Звездочка *️⃣ неприятный запах
